Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44005525,Game India: Seven Strategic Advantages That Can Steer India to Wealth,R.N. Bhaskar,"Bhaskar, R.N.",,"=""0670090883""","=""9780670090884""",0,4.31,Penguin Portfolio,Hardcover,296,2019,,,2025/09/16,to-read,to-read (#26),to-read,,,,0,0
17660462,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,"=""0316219266""","=""9780316219266""",0,4.14,"Little, Brown and Company",Hardcover,384,2013,2013,2025/09/08,2025/09/08,,,read,,,,1,0
49099937,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,"=""0593152387""","=""9780593152386""",0,4.27,Random House Large Print,Paperback,464,2020,2020,,2025/08/22,to-read,to-read (#25),to-read,,,,0,0
36912593,"China's Great Wall of Debt: Shadow Banks, Ghost Cities, Massive Loans, and the End of the Chinese Miracle",Dinny McMahon,"McMahon, Dinny",,"=""1328846024""","=""9781328846020""",0,4.13,Mariner Books,ebook,288,2018,2018,,2025/08/04,currently-reading,currently-reading (#4),currently-reading,,,,1,0
6828896,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,"Hsieh, Tony",,"=""0446563048""","=""9780446563048""",5,4.04,Grand Central Publishing,Hardcover,246,2010,2000,2025/08/16,2025/08/04,,,read,,,,1,0
13506866,"Salvation of a Saint (Detective Galileo, #2)",Keigo Higashino,"Higashino, Keigo",Alexander O. Smith,"=""0312600682""","=""9780312600686""",0,4.01,Minotaur Books,Hardcover,330,2012,2008,,2025/02/01,to-read,to-read (#24),to-read,,,,0,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",4,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,2025/01/28,2025/01/24,,,read,,,,1,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""1982181281""","=""9781982181284""",0,4.33,Simon & Schuster,Hardcover,688,2023,2023,,2025/01/17,to-read,to-read (#23),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,472,2014,2006,,2023/12/16,to-read,to-read (#22),to-read,,,,1,0
55148500,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric","Tim Ferriss, Jack Butcher","=""1544514204""","=""""",0,4.39,Magrathea Publishing,Kindle Edition,242,2020,2020,,2023/12/16,to-read,to-read (#21),to-read,,,,1,0
